ref;color_en;color_fr;genre;name;description_en;description_fr;image
FZ0812;Aqua;Aqua;UNISEXE;CL LEGACY;"THROWBACK RUNNING-INSPIRED SHOES WITH A PROGRESSIVE DESIGN
You can be feared or fearless. Unless you're wearing these Classic Leather Legacy Shoes. Then you can be both. Mash up retro and futuristic with a fresh, super modern style. Serrated edges and contrast side stripes root your look in Reebok. Stay elevated figuratively and literally with a chunky midsole. Any questions?

Lace closure
Textile upper
Textile lining
EVA midsole
Rubber outsole
Imported
Product color: Chalk Blue / Digital Glow / Aqua Dust
Product code: FZ0812";"UN MODÈLE FUTURISTE D'INSPIRATION RÉTRO-RUNNING
Fais-toi craindre ou deviens indomptable. Avec cette Classic Leather Legacy, tout est possible. Elle allie styles rétro et futuriste dans un design frais et vraiment moderne. De nombreux détails la rendent vraiment désirable, comme des bords crantés et des bandes latérales qui claquent. Prends de la hauteur avec sa semelle intermediaire volumineuse. À toi de jouer.

Fermeture à lacets.
Tige textile.
Doublure textile.
Semelle intermédiaire en EVA.
Semelle extérieure en caoutchouc.
Couleur du produit : Chalk Blue / Digital Glow / Aqua Dust
Code du produit : FZ0812";FZ0812.jpg
FZ2923;Red / Blue;Rouge / Bleu;UNISEXE;CL LEGACY;"A MODERN RETRO-RUNNING INSPIRED SHOE
An OG model that takes it to the next level. This Classic Leather Legacy has plenty of details that make it truly desirable, like notched edges and snapping side stripes. Its chunky sole gives you height.

Lace closure
Textile and suede upper
Textile lining
EVA midsole
Rubber outsole
Imported
Product color: Morning Fog / Court Blue / Dynamic Red
Product code: FZ2923";"UNE CHAUSSURE MODERNE D'INSPIRATION RÉTRO-RUNNING
Un modèle OG qui passe à la vitesse supérieure. Cette Classic Leather Legacy possède de nombreux détails qui la rendent vraiment désirable, comme des bords crantés et des bandes latérales qui claquent. Sa semelle volumineuse te fait prendre de la hauteur.

Fermeture à lacets.
Tige textile et suède.
Doublure textile.
Semelle intermédiaire en EVA
Semelle extérieure en caoutchouc.
Couleur du produit : Morning Fog / Court Blue / Dynamic Red
Code du produit : FZ2923";FZ2923.jpg
FZ2924;Green;Vert;UNISEXE;CL LEGACY;"A MODERN RETRO-RUNNING INSPIRED SHOE
An OG model that takes it to the next level. This Classic Leather Legacy has plenty of details that make it truly desirable, like notched edges and snapping side stripes. Its chunky sole gives you height.

Lace closure
Textile and suede upper
Textile lining
EVA midsole
Rubber outsole
Imported
Product color: Sand Stone / Forest Green / Harmony Green
Product code: FZ2924";"UNE CHAUSSURE MODERNE D'INSPIRATION RÉTRO-RUNNING
Un modèle OG qui passe à la vitesse supérieure. Cette Classic Leather Legacy possède de nombreux détails qui la rendent vraiment désirable, comme des bords crantés et des bandes latérales qui claquent. Sa semelle volumineuse te fait prendre de la hauteur.

Fermeture à lacets.
Tige textile et suède.
Doublure textile.
Semelle intermédiaire en EVA
Semelle extérieure en caoutchouc.
Couleur du produit : Sand Stone / Forest Green / Harmony Green
Code du produit : FZ2924";FZ2924.jpg
FY7432;Red;Rouge;UNISEXE;CL LEGACY;"COLORFUL SHOES INSPIRED BY '70S RUNNING DESIGN
Rad '70s running style reimagined. These Classic Legacy shoes take their design inspiration from old-school trainers. A sculpted 3D look gives the midsole a fierce attitude. Bold colors pop for a standout look. The upper mixes suede and textile for extra texture and depth.

Suede and textile upper
Injection-molded midsole for light weight and extra cushioning
Textile lining
Rubber outsole
Imported
Product color: Alabaster / Chalk / Laser Red
Product code: FY7432";"UN MODÈLE COLORÉ D'INSPIRATION SEVENTIES
Un style running iconique remis au goût du jour. Puisant son inspiration dans des modèles 70s, cette Classic Legacy est fière de ses origines. Sa semelle intermédiaire en 3D sculptée te donnera un look résolument féroce, et les touches de couleurs vives attireront tous les regards. La tige mêle suède et matière textile robuste pour un maximum de relief.

Tige textile et suède.
Semelle intermédiaire injectée pour un amorti en toute légèreté.
Doublure textile.
Semelle extérieure en caoutchouc.
Couleur du produit : Alabaster / Chalk / Laser Red
Code du produit : FY7432";FY7432.jpg
AR0457;Navy blue;Bleu marine;HOMME;CLUB C 85;"A RETRO MODEL INSPIRED BY TENNIS
Join the Classics club by indulging in this new model. The soft leather upper gives you superior comfort and support. The midsole provides excellent cushioning, and the Reebok logo on the side gives a timeless touch to this casual yet sophisticated shoe.

Low-cut profile
Soft leather upper
Comfortable molded sockliner
Archive logo and windowbox
Lightweight EVA midsole cushioning
Imported
Product color: White / Navy
Product code: AR0457";"UN MODÈLE RÉTRO INSPIRÉ DU TENNIS
Vous aussi, rejoignez le club Classics en vous laissant tenter pour ce nouveau modèle. Sa tige en cuir doux vous apporte un confort et un maintien supérieurs La semelle intermédiaire vous offre un excellent amorti, et le logo latéral Reebok donne une touche intemporelle à ces chaussures au look à la fois décontracté et sophistiqué.

Coupe basse.
Tige en cuir souple.
Semelle intérieure moulée confortable.
Logo encadré tiré des archives Reebok.
Semelle intermédiaire en EVA pour un amorti en toute légèreté.
Couleur du produit : Intense White / Navy
Code du produit : AR0457";AR0457.jpg
AR0456;Green;Vert;HOMME;CLUB C 85;"A RETRO MODEL INSPIRED BY TENNIS
Join the Classics club by indulging in this new model. The soft leather upper gives you superior comfort and support. The midsole provides excellent cushioning, and the Reebok logo on the side gives a timeless touch to this casual yet sophisticated shoe.

Low-cut profile
Soft leather upper
Comfortable molded sockliner
Archive logo and windowbox
Lightweight EVA midsole cushioning
Imported
Product color: White / Green
Product code: AR0456";"UN MODÈLE RÉTRO INSPIRÉ DU TENNIS
Vous aussi, rejoignez le club Classics en vous laissant tenter pour ce nouveau modèle. Sa tige en cuir doux vous apporte un confort et un maintien supérieurs La semelle intermédiaire vous offre un excellent amorti, et le logo latéral Reebok donne une touche intemporelle à ces chaussures au look à la fois décontracté et sophistiqué.

Coupe basse.
Tige en cuir souple.
Semelle intérieure moulée confortable.
Logo encadré tiré des archives Reebok.
Semelle intermédiaire en EVA pour un amorti en toute légèreté.
Couleur du produit : Intense White / Green
Code du produit : AR0456";AR0456.jpg
FX1469;Yellow;Jaune;HOMME;CLUB C 85;"LEATHER CLUB C 85 SNEAKERS THAT SERVE UP ACE STYLE
Level up your clean, court-inspired kicks. These Club C 85 Shoes punch up heritage Reebok design with color pops. Vintage vibes come through with exposed foam on the tongue and archive logos. A soft leather upper finishes strong.

Lace closure
Leather upper
Lightweight cushioning
Removable EVA foam sockliner
Textile lining
Rubber outsole
Imported
Product color: White / Pale Yellow / Bright Ochre
Product code: FX1469";"UNE CLUB C 85 EN CUIR AU STYLE IMPECCABLE
Opte pour un style épuré tout droit sorti des courts. Cette Club C 85 revisite l’héritage de Reebok avec des pops de couleur. Elle assume pleinement ses influences vintage avec sa mousse apparente sur la languette et ses logos old-school. La tige en cuir doux apporte un grand confort.

Fermeture à lacets.
Tige en cuir.
Amorti efficace qui n'alourdit pas la chaussure.
Semelle intérieure amovible en mousse EVA.
Doublure textile.
Semelle extérieure en caoutchouc.
Couleur du produit : White / Pale Yellow / Bright Ochre
Code du produit : FX1469";FX1469.jpg
FX2097;Blue;Bleu;HOMME;CLUB C 85;"A LEATHER PAIR WITH A TOUCH OF BATISTE
Hard to compete with a classic model. But we're not giving up. Slip on this men's model that brings together all the essentials of the 80's look. The Reebok logo, Union Jack flag and minimalist design are all there. We just added a touch of batiste to the heel for originality.

Lace closure
Leather upper with a batiste heel reinforcement
Effective cushioning without weighing down the shoe
Textile lining
Rubber outsole
Product Color: White / Vector Navy / White
Product Code : FX2097";"UNE PAIRE EN CUIR AVEC UNE TOUCHE DE BATISTE
Difficile de concurrencer un modèle classique. Mais nous n'abandonnons pas. Enfile ce modèle pour homme qui réunit tous les incontournables du look 80's. Logo Reebok, drapeau Union Jack et design minimaliste : tout y est. Nous avons juste ajouté un soupçon de batiste au talon, pour l'originalité.

Fermeture à lacets.
Tige en cuir avec un renfort talon en batiste.
Amorti efficace sans alourdir la chaussure.
Doublure textile.
Semelle extérieure en caoutchouc.
Couleur du produit : White / Vector Navy / White
Code du produit : FX2097";FX2097.jpg
1354;White;Blanc;HOMME;NPC II;"A CLASSIC OF ELEGANCE
A shoe that is anything but boring. The modern reinterpretation of a fashion icon, the NPC. Soft leather upper for a comfortable fit. Ultra abrasion-resistant outsole for durability. Feel free to customize with brightly colored laces for maximum impact.

Materials: Full-grain leather for soft support
Best for: Casual wear, classic style, throwback looks
Low-cut design for a sleek and sophisticated silhouette
EVA midsole helps add cushioning
High abrasion rubber outsole adds durable responsiveness
Padded foam sockliner for comfort
Imported
Product color: White / White
Product code: 1354";"UN CLASSIQUE DE L'ÉLÉGANCE
Une chaussure tout sauf ennuyeuse. La réinterprétation moderne d'une icône de mode, la NPC. Tige en cuir doux pour un maintien confortable. Semelle extérieure ultra-résistante à l'abrasion pour plus de longévité. N'hésitez pas à la personnaliser en lui ajoutant des lacets de couleur vive, pour un maximum d'effet.

Designed for: throwback style, everyday comfort, casual wear
Une tige basse pour un style élégant et sophistiqué
Une semelle intermédiaire en mousse pour le confort
Twin cup bottom for traction with heritage style
Classic blucher toe construction and a clean quarter
Matériaux : Tige en cuir doux pour un maintien confortable
Tige en cuir doux pour un maintien confortable.
Couleur du produit : White
Code du produit : 1354";1354.jpg
6836;Black;Noir;HOMME;NPC II;"A CLASSIC OF ELEGANCE
A shoe that is anything but boring. The modern reinterpretation of a fashion icon, the NPC. Soft leather upper for a comfortable fit. Ultra abrasion-resistant outsole for durability. Feel free to customize with brightly colored laces for maximum impact.

Designed for: throwback style, everyday comfort, casual wear
Low profile upper for a sleek and sophisticated look
Foam midsole for comfort
Twin cup bottom for traction with heritage style
Classic blucher toe construction and a clean quarter
Materials: Soft leather upper for a comfortable fit
Soft leather upper for a comfortable fit.
Product Color: Black
Product Code: 6836";"UN CLASSIQUE DE L'ÉLÉGANCE
Une chaussure tout sauf ennuyeuse. La réinterprétation moderne d'une icône de mode, la NPC. Tige en cuir doux pour un maintien confortable. Semelle extérieure ultra-résistante à l'abrasion pour plus de longévité. N'hésitez pas à la personnaliser en lui ajoutant des lacets de couleur vive, pour un maximum d'effet.

Designed for: throwback style, everyday comfort, casual wear
Une tige basse pour un style élégant et sophistiqué
Une semelle intermédiaire en mousse pour le confort
Twin cup bottom for traction with heritage style
Classic blucher toe construction and a clean quarter
Matériaux : Tige en cuir doux pour un maintien confortable
Tige en cuir doux pour un maintien confortable.
Couleur du produit : Black
Code du produit : 6836";6836.jpg
FX1417;White / Blue;Blanc / Bleu;HOMME;NPC UK II;"A FUN SHOE WITH A VINTAGE DESIGN
Fall for the old-school vibes of this Reebok men's shoe. The sleek tennis-inspired upper is adorned with subtle colorways for a truly vintage look. The soft, lightweight leather design is truly stylish.

Lace closure
Leather upper
Sensation of softness
Fleece lining
Full rubber cupsole
EVA midsole for optimal comfort
Product Color: White / Athletic Blue / White
Product Code: FX1417";"UNE CHAUSSURE AGRÉABLE AVEC UN DESIGN VINTAGE
Craque pour les vibes old-school de cette chaussure Reebok pour homme. La tige épurée inspirée du tennis est ornée de coloris subtils pour un look vraiment vintage. Sa conception en cuir souple et léger est vraiment élégante.

Fermeture à lacets.
Tige en cuir.
Sensation de douceur.
Doublure molletonnée.
Semelle cupsole entièrement en caoutchouc.
Semelle intermédiaire en EVA pour un confort optimal.
Couleur du produit : White / Athletic Blue / White
Code du produit : FX1417";FX1417.jpg
FY9434;White / Green;Blanc / Vert;HOMME;NPC UK II;"A FUN SHOE WITH A VINTAGE DESIGN
Fall for the old-school vibes of this Reebok men's shoe. The sleek tennis-inspired upper is adorned with subtle colorways for a truly vintage look. The soft, lightweight leather design is truly stylish.

Lace closure
Leather upper
Sensation of softness
Fleece lining
Full rubber cupsole
EVA midsole for optimal comfort
Product Color: Chalk / Alabaster / Glen Green
Product Code: FY9434";"UNE CHAUSSURE AGRÉABLE AVEC UN DESIGN VINTAGE
Craque pour les vibes old-school de cette chaussure Reebok pour homme. La tige épurée inspirée du tennis est ornée de coloris subtils pour un look vraiment vintage. Sa conception en cuir souple et léger est vraiment élégante.

Fermeture à lacets.
Tige en cuir.
Sensation de douceur.
Doublure molletonnée.
Semelle cupsole entièrement en caoutchouc.
Semelle intermédiaire en EVA pour un confort optimal.
Couleur du produit : Chalk / Alabaster / Glen Green
Code du produit : FY9434";FY9434.jpg
49799;White;Blanc;HOMME;CL LTHR;"A LEATHER SHOE WITH 80'S RUNNING STYLE
Never get left behind by fashion. The leather upper gives you supreme comfort. Openwork EVA midsole for lightweight cushioning. Ergonomic PU insole to maximize comfort and durability.

Low-cut profile
Soft leather upper
Comfortable molded sockliner
Lightweight EVA midsole cushioning
Durable rubber outsole
Imported
Product color: White
Product code: 49799";"UNE CHAUSSURE EN CUIR AU STYLE RUNNING DES 80'S
Ne vous laissez jamais distancer par la mode. La tige en cuir vous offre un confort suprême. Semelle intermédiaire en EVA ajouré pour un amorti en toute légèreté. Semelle intérieure ergonomique en PU pour maximiser le confort et la durabilité.

Confortable tige en cuir et textile.
Semelle intermédiaire en EVA ajouré pour un amorti en toute légèreté.
Caoutchouc ultra-résistant à l'abrasion pour plus de résistance et d'adhérence.
Semelle extérieure en caoutchouc ultra-résistant à l'abrasion pour plus de longévité.
Semelle intermédiaire en EVA pour un amorti en toute légèreté.
Couleur du produit : Intense White / Gum
Code du produit : 49799";49799.jpg
FX1715;Gold;Gold;HOMME;CL LTHR;"AN OLD-SCHOOL LEATHER SHOE THAT WON'T GO UNNOTICED
You're a fan of minimalist looks, but sometimes you're tempted by bold pieces? With its silver highlights, this Classic Leather is for you. The contrasting stripes and logo window make it authentic. How can you not fall for it?

Low cut
Lace closure
Leather upper with silver highlights
Effective cushioning that does not weigh down the shoe
Openwork EVA midsole
Removable insole
Rubber outsole
Product Color: White / Gold Metallic / Forest Green
Product Code: FX1715";"UNE CHAUSSURE EN CUIR OLD-SCHOOL QUI NE PASSE PAS INAPERÇUE
Tu es plutôt fan des looks minimalistes, mais tu te laisses parfois tenter par des pièces audacieuses ? Avec ses reflets argentés, cette Classic Leather est faite pour toi. Les bandes contrastantes et la fenêtre logotypée affirment son authenticité. Comment ne pas craquer ?

Coupe basse.
Fermeture à lacets.
Tige en cuir avec des reflets argentés.
Amorti efficace qui n'alourdit pas la chaussure.
Semelle intermédiaire en EVA ajouré.
Semelle intérieure amovible.
Semelle extérieure en caoutchouc.
Couleur du produit : White / Gold Metallic / Forest Green
Code du produit : FX1715";FX1715.jpg
FX1249;Black;Noir;HOMME;CL LTHR;"A SHOE FROM OUR VINTAGE COLLECTION
It's got everything right. This men's Classic Leather is adorned with OG details that boost your look. Contrasting suede side stripes, a banded midsole and a touch of faux leather on the heel reinforcement... We bet you'll fall for it!
";"UNE CHAUSSURE ISSUE DE NOTRE COLLECTION VINTAGE
Elle a franchement tout bon. Cette Classic Leather pour homme est ornée de détails OG qui boostent ton look. Bandes latérales contrastantes en suède, semelle intermediaire ornée d'une bande et touche de simili cuir sur le renfort talon... On parie que tu vas craquer !";FX1249.jpg
FX1289;Blue;Bleu;HOMME;CL LTHR;"A SHOE FROM OUR VINTAGE COLLECTION
It's got everything right. This men's Classic Leather is adorned with OG details that boost your look. Contrasting suede side stripes, a banded midsole and a touch of faux leather on the heel reinforcement... We bet you'll fall for it!

Low cut
Lace closure
Leather upper with suede side stripes and a mesh insert
Effective cushioning that does not weigh down the shoe
Openwork EVA midsole
Removable insole
Rubber outsole
Product Color: White / Court Blue / Morning Fog
Product Code: FX1289";"UNE CHAUSSURE ISSUE DE NOTRE COLLECTION VINTAGE
Elle a franchement tout bon. Cette Classic Leather pour homme est ornée de détails OG qui boostent ton look. Bandes latérales contrastantes en suède, semelle intermediaire ornée d'une bande et touche de simili cuir sur le renfort talon... On parie que tu vas craquer !

Coupe basse.
Fermeture à lacets.
Tige en cuir avec des bandes latérales en suède et un empiècement en mesh.
Amorti efficace qui n'alourdit pas la chaussure.
Semelle intermédiaire en EVA ajouré.
Semelle intérieure amovible.
Semelle extérieure en caoutchouc.
Couleur du produit : White / Court Blue / Morning Fog
Code du produit : FX1289";FX1289.jpg
S23721;Grow yellow;Grow jaune;HOMME;CL LTHR GROW;"AN OLD-SCHOOL SHOE WITH A TOUCH OF FLUORESCENCE
A Reebok style that makes a statement. This Classic Leather Grow for men is made from at least 50% plant-based materials in an eco-responsible approach. The organic cotton upper, the SweetFoam EVA sole and the natural rubber outsole give it an authentic look. How to resist?

Lace closure
100% Cotton canvas upper
Textile lining
SweetFoam EVA midsole
Natural rubber outsole
Imported
Product color: Chalk / Primal Yellow / Horizon Blue
Product code: S23721";"UNE CHAUSSURE OLD-SCHOOL AVEC UNE TOUCHE DE FLUO
Un style Reebok qui en impose. Cette Classic Leather Grow pour homme est fabriquée à partir d'au moins 50 % de matériaux d'origine végétale dans une démarche éco-responsable La tige en coton bio, la semelle en EVA SweetFoam et la semelle extérieure en caoutchouc naturel lui donnent un look authentique. Comment résister ?

Fermeture à lacets.
Tige en toile 100 % coton.
Doublure textile.
Semelle intermédiaire en EVA SweetFoam.
Semelle extérieure en caoutchouc naturel.
Couleur du produit : Chalk / Primal Yellow / Horizon Blue
Code du produit : S23721";S23721.jpg
